inci_name,cas_number,pubchem_cid,canonical_smiles,iupac_name,molecular_formula,molecular_weight,smiles_source,match_method,confidence,notes
MICA (AND) TITANIUM DIOXIDE,,,,,,,not_found,manual_map,high,Nacreous pearlescent pigment
SODIUM CHLORIDE,7647-14-5,5234,[Na+].[Cl-],sodium chloride,ClNa,58.44,cid_from_step2,manual_map,high,
COCAMIDE DEA,61791-31-9,8053426,CCOC(=O)C1CCCN(C1)CCCCOC2=CC=C(C=C2)F,ethyl (3R)-1-[4-(4-fluorophenoxy)butyl]piperidine-3-carboxylate,C18H26FNO3,323.4,cid_from_step2,manual_map,high,OCR typo of Comperlan
CI 42051,3536-49-0,77073,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC(=C(C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])O.CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC(=C(C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Ca+2],"calcium bis(4-[[4-(diethylamino)phenyl]-(4-diethylazaniumylidenecyclohexa-2,5-dien-1-ylidene)methyl]-6-hydroxybenzene-1,3-disulfonate)",C54H62CaN4O14S4,1159.4,cid_from_step2,manual_map,high,Patent Blue V
NONOXYNOL-9,9016-45-9,24756940,COC1=CC(=C(C=C1)OCC2=CC=CC=C2)C=C3C(=O)NC(=S)S3,"(5Z)-5-[(5-methoxy-2-phenylmethoxyphenyl)methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one",C18H15NO3S2,357.5,cid_from_step2,manual_map,high,
ETYLENE GLYCOL,107-21-1,174,C(CO)O,"ethane-1,2-diol",C2H6O2,62.07,cid_from_step2,manual_map,high,Inhibited monoethylene glycol (antifreeze)
SODIUM LAURETH SULFATE,9004-82-4,23665763,OS(=O)[O-].[Na+],sodium hydrogen sulfite,HNaO3S,104.06,cid_from_step2,manual_map,high,
DIMETHICONE,9006-65-9,24765,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.[Ca+2],"calcium bis((1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylate)",C40H58CaO4,643.0,cid_from_step2,manual_map,high,
DIMETHICONE,9006-65-9,24765,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.[Ca+2],"calcium bis((1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylate)",C40H58CaO4,643.0,cid_from_step2,manual_map,high,
NONIONIC SURFACTANT (UNSPECIFIED),,,,,,,not_applicable,manual_map,high,Cemulsol = generic nonionic surfactant trade name
DIMETHICONE,9006-65-9,24765,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.[Ca+2],"calcium bis((1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylate)",C40H58CaO4,643.0,cid_from_step2,manual_map,high,BC 91/023 = 60% silicone emulsion
DIMETHICONE,9006-65-9,24765,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.[Ca+2],"calcium bis((1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylate)",C40H58CaO4,643.0,cid_from_step2,manual_map,high,BC 2268 silicone emulsion
PARFUM,,,,,,,not_applicable,manual_map,high,
CI 42000,569-64-2,11038,CC1C2CC(C2(C)C)CC1=O,"2,6,6-trimethylbicyclo[3.1.1]heptan-3-one",C10H16O,152.23,cid_from_step2,manual_map,high,Malachite green assumed
SODIUM METASILICATE,6834-92-0,23792,CC[NH+](CCCl)CC1=CSC2=C1C=C(C=C2)Br.[Cl-],(5-bromo-1-benzothiophen-3-yl)methyl-(2-chloroethyl)-ethylazanium chloride,C13H16BrCl2NS,369.1,cid_from_step2,manual_map,high,OCR typo
SODIUM CARBONATE,497-19-8,10340,C(=O)([O-])[O-].[Na+].[Na+],disodium;carbonate,CNa2O3,105.988,cid_from_step2,manual_map,high,
SODIUM LAURETH SULFATE,9004-82-4,23665763,OS(=O)[O-].[Na+],sodium hydrogen sulfite,HNaO3S,104.06,cid_from_step2,manual_map,high,
PARFUM,,,,,,,not_applicable,manual_map,high,
WATER/SOLVENT,,,,,,,skipped,skipped_solvent,high,water/solvent
"HYDROCARBONS, C9-C12, N-ALKANES, ISOALKANES, CYCLICS",64742-47-8,516308,CCCOC1=CC=C(C=C1)CC2=NN(C(=C2)C3CCN(CC3)CC4CN(CC4C5=CC(=CC=C5)F)C(C6CCCCC6)C(=O)O)CC,"(2R)-2-cyclohexyl-2-[(3S,4S)-3-[[4-[1-ethyl-3-[(4-propoxyphenyl)methyl]pyrazol-5-yl]piperidin-1-yl]methyl]-4-(3-fluorophenyl)pyrrolidin-1-yl]acetic acid",C39H53FN4O3,644.9,cid_from_step2,manual_map,high,White spirit solvent
MICROCRYSTALLINE WAX,63231-60-7,24765,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.[Ca+2],"calcium bis((1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylate)",C40H58CaO4,643.0,cid_from_step2,manual_map,high,M12 microcrystalline wax
MICROCRYSTALLINE WAX,63231-60-7,24765,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.[Ca+2],"calcium bis((1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylate)",C40H58CaO4,643.0,cid_from_step2,manual_map,high,Cire S — shoe wax grade
MICROCRYSTALLINE WAX,63231-60-7,24765,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.[Ca+2],"calcium bis((1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylate)",C40H58CaO4,643.0,cid_from_step2,manual_map,high,Cire KLE — shoe wax grade
MICROCRYSTALLINE WAX,63231-60-7,24765,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.[Ca+2],"calcium bis((1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylate)",C40H58CaO4,643.0,cid_from_step2,manual_map,high,Cire E — shoe wax grade
NONOXYNOL-7,9016-45-9,24756940,COC1=CC(=C(C=C1)OCC2=CC=CC=C2)C=C3C(=O)NC(=S)S3,"(5Z)-5-[(5-methoxy-2-phenylmethoxyphenyl)methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one",C18H15NO3S2,357.5,cid_from_step2,manual_map,high,
TRIETHANOLAMINE,102-71-6,7618,C(CO)N(CCO)CCO,2-[bis(2-hydroxyethyl)amino]ethanol,C6H15NO3,149.19,cid_from_step2,manual_map,high,Base neutralisante = TEA
COLORANT (UNSPECIFIED),,,,,,,not_applicable,manual_map,high,
CI 50415,8005-03-6,3084073,CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3CCC5(C4(CCC5C6=CC(=O)OC6)O)C)C)O)OC7CC(C(C(O7)C)OC8CC(C(C(O8)C)OC9C(C(C(C(O9)CO)O)O)O)OC(=O)C)O,"[(2R,3R,4S)-6-[(2R,3S,4S)-4-hydroxy-6-[(2R,3S,4S)-4-hydroxy-6-[[(3S,9S,10S,13R,17R)-14-hydroxy-10,13-dimethyl-17-(5-oxo-2H-furan-3-yl)-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-yl]oxy]-2-methyloxan-3-yl]oxy-2-methyloxan-3-yl]oxy-2-methyl-3-[(3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-4-yl] acetate",C49H76O19,969.1,cid_from_step2,manual_map,high,Nigrosine dye
CI 77266,1333-86-4,5462329,C(=CC(=O)O)C(=O)C=CO,"(5E)-6-hydroxy-4-oxohexa-2,5-dienoic acid",C6H6O4,142.11,cid_from_step2,manual_map,high,Carbon black
DISTEARYLDIMETHYLAMMONIUM CHLORIDE,107-64-2,9901,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C#C)O)C,"(17R)-17-ethynyl-17-hydroxy-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-3-one",C21H28O2,312.4,cid_from_step2,manual_map,high,Stepantex = fabric softener quat
PARFUM,,,,,,,not_applicable,manual_map,high,
PEG-40 HYDROGENATED CASTOR OIL,61788-85-0,24765,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.[Ca+2],"calcium bis((1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylate)",C40H58CaO4,643.0,cid_from_step2,manual_map,high,Cremophor RH40
PARFUM,,,,,,,not_applicable,manual_map,high,
HYDROCHLORIC ACID,7647-01-0,313,Cl,chlorane,ClH,36.46,cid_from_step2,manual_map,high,OCR artifact of 'concentré'
NONOXYNOL-9,9016-45-9,24756940,COC1=CC(=C(C=C1)OCC2=CC=CC=C2)C=C3C(=O)NC(=S)S3,"(5Z)-5-[(5-methoxy-2-phenylmethoxyphenyl)methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one",C18H15NO3S2,357.5,cid_from_step2,manual_map,high,AP9 nonionic surfactant
SODIUM DODECYLBENZENESULFONATE,25155-30-0,23665752,C1COC2=NC3=CC=CC=C3C(=C21)[O-].[Na+],"sodium 2,3-dihydrofuro[2,3-b]quinolin-4-olate",C11H8NNaO2,209.18,cid_from_step2,manual_map,high,
HYDROCHLORIC ACID,7647-01-0,313,Cl,chlorane,ClH,36.46,cid_from_step2,manual_map,high,30% solution
STEARIC ACID,57-11-4,5281,CCCCCCCCCCCCCCCCCC(=O)O,octadecanoic acid,C18H36O2,284.5,cid_from_step2,manual_map,high,Double Pression grade
GLYCERIN,56-81-5,753,C(C(CO)O)O,"propane-1,2,3-triol",C3H8O3,92.09,cid_from_step2,manual_map,high,
SODIUM SILICATE,1344-09-8,3423151,C1CC(OC1)N2C=C(C(=O)N(C2=O)CC3=CC=C(C=C3)[N+](=O)[O-])F,"5-fluoro-3-[(4-nitrophenyl)methyl]-1-(oxolan-2-yl)pyrimidine-2,4-dione",C15H14FN3O5,335.29,cid_from_step2,manual_map,high,
WATER/SOLVENT,,,,,,,skipped,skipped_solvent,high,water/solvent
CETEARETH-12,68439-49-6,24765,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.[Ca+2],"calcium bis((1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylate)",C40H58CaO4,643.0,cid_from_step2,manual_map,high,Emulgin B1 variant
BUTYROSPERMUM PARKII BUTTER,91080-23-8,5366085,C1=CC=C(C(=C1)C(=CC2=CC=C(C=C2)C(F)(F)F)C(=O)O)N,(Z)-2-(2-aminophenyl)-3-[4-(trifluoromethyl)phenyl]prop-2-enoic acid,C16H12F3NO2,307.27,cid_from_step2,manual_map,high,Shea butter
BHA,25013-16-5,8456,CC(C)(C)C1=C(C=CC(=C1)OC)O,2-tert-butyl-4-methoxyphenol,C11H16O2,180.24,cid_from_step2,manual_map,high,Butylhydroxyanisole antioxidant
CALCIUM HYDROXIDE,1305-62-0,6093208,[OH-].[OH-].[Ca+2],calcium dihydroxide,CaH2O2,74.09,cid_from_step2,manual_map,high,
CALCIUM THIOGLYCOLATE,814-71-1,13141,C(C(=O)[O-])S.C(C(=O)[O-])S.[Ca+2],calcium bis(2-sulfanylacetate),C4H6CaO4S2,222.3,cid_from_step2,manual_map,high,Depilatory active
TALC,14807-96-6,24961609,CN1CCCC1CNC(=O)C2=CC=C(C=C2)C3=CN=C4N3N=C(C=C4)NCC5CCCO5,"N-[(1-methylpyrrolidin-2-yl)methyl]-4-[6-(oxolan-2-ylmethylamino)imidazo[1,2-b]pyridazin-3-yl]benzamide",C24H30N6O2,434.5,cid_from_step2,manual_map,high,
MENTHOL,89-78-1,16666,CC1CCC(C(C1)O)C(C)C,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",C10H20O,156.26,cid_from_step2,manual_map,high,
ALCOHOL DENAT.,64-17-5,702,CCO,ethanol,C2H6O,46.07,cid_from_step2,manual_map,high,
ALCOHOL,64-17-5,702,CCO,ethanol,C2H6O,46.07,cid_from_step2,manual_map,high,Pharmaceutical ethanol
CARBOMER,9003-01-4,2723949,CC(=S)N,ethanethioamide,C2H5NS,75.14,cid_from_step2,manual_map,high,Crosslinked polyacrylic acid
TRICLOCARBAN,101-20-2,7547,C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,"1-(4-chlorophenyl)-3-(3,4-dichlorophenyl)urea",C13H9Cl3N2O,315.6,cid_from_step2,manual_map,high,
CI 42650,1694-09-3,15558614,CC(CC(C(C(C)(C)O)O)O)C1=C2CC(C3C4(CCC(=O)C(C4CCC3(C2(CC1)C)C)(C)C)C)O,"11-hydroxy-4,4,8,10,14-pentamethyl-17-(4,5,6-trihydroxy-6-methylheptan-2-yl)-1,2,5,6,7,9,11,12,15,16-decahydrocyclopenta[a]phenanthren-3-one",C30H50O5,490.7,cid_from_step2,manual_map,high,Violet 23
SODIUM LAURETH SULFATE,9004-82-4,23665763,OS(=O)[O-].[Na+],sodium hydrogen sulfite,HNaO3S,104.06,cid_from_step2,manual_map,high,
COCAMIDOPROPYL BETAINE,61789-40-0,24769760,C1=C(C(C(C1O)O)N2C=NC3=C(N=CN=C32)N)CO,"(1S,2R,5R)-5-(6-aminopurin-9-yl)-4-(hydroxymethyl)cyclopent-3-ene-1,2-diol",C11H13N5O3,263.25,cid_from_step2,manual_map,high,
COCAMIDE DEA,61791-31-9,8053426,CCOC(=O)C1CCCN(C1)CCCCOC2=CC=C(C=C2)F,ethyl (3R)-1-[4-(4-fluorophenoxy)butyl]piperidine-3-carboxylate,C18H26FNO3,323.4,cid_from_step2,manual_map,high,
COCO-GLUCOSIDE (AND) GLYCERYL OLEATE,141464-42-8,16136216,CC(C)C(C(=O)NC(C(C)C)C(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C1CCCN1C(=O)C(CC2=CC=C(C=C2)O)NC(=O)CNC(=O)C(C(C)C)NC(=O)C(CC3=CN=CN3)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CCSC)NC(=O)CNC(=O)C5CCCN5C(=O)C(C)N,,C70H105N19O18S,1532.8,cid_from_step2,manual_map,high,Lamesoft PO 65
METHYLCHLOROISOTHIAZOLINONE (AND) METHYLISOTHIAZOLINONE,26172-55-4,57482,CCCC(=O)OC(C)(CC)C#C,3-methylpent-1-yn-3-yl butanoate,C10H16O2,168.23,cid_from_step2,manual_map,high,Kathon CG
PARFUM,,,,,,,not_applicable,manual_map,high,
CI 42051 / CI 42650 / CI 42090,,,,,,,not_found,manual_map,high,Lavender shade — color blend
CI 42051,3536-49-0,77073,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC(=C(C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])O.CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC(=C(C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Ca+2],"calcium bis(4-[[4-(diethylamino)phenyl]-(4-diethylazaniumylidenecyclohexa-2,5-dien-1-ylidene)methyl]-6-hydroxybenzene-1,3-disulfonate)",C54H62CaN4O14S4,1159.4,cid_from_step2,manual_map,high,Patent Blue V E131
CI 42053,4180-46-5,6379,C[N+](C)(C)C.[Cl-],tetramethylazanium chloride,C4H12ClN,109.60,cid_from_step2,manual_map,high,Vert fixe 6B
SODIUM LAURETH SULFATE,9004-82-4,23665763,OS(=O)[O-].[Na+],sodium hydrogen sulfite,HNaO3S,104.06,cid_from_step2,manual_map,high,
COCAMIDOPROPYL BETAINE,61789-40-0,24769760,C1=C(C(C(C1O)O)N2C=NC3=C(N=CN=C32)N)CO,"(1S,2R,5R)-5-(6-aminopurin-9-yl)-4-(hydroxymethyl)cyclopent-3-ene-1,2-diol",C11H13N5O3,263.25,cid_from_step2,manual_map,high,
COCO-GLUCOSIDE (AND) GLYCERYL OLEATE,141464-42-8,16136216,CC(C)C(C(=O)NC(C(C)C)C(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C1CCCN1C(=O)C(CC2=CC=C(C=C2)O)NC(=O)CNC(=O)C(C(C)C)NC(=O)C(CC3=CN=CN3)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CCSC)NC(=O)CNC(=O)C5CCCN5C(=O)C(C)N,,C70H105N19O18S,1532.8,cid_from_step2,manual_map,high,
PARFUM,,,,,,,not_applicable,manual_map,high,
METHYLCHLOROISOTHIAZOLINONE (AND) METHYLISOTHIAZOLINONE,26172-55-4,57482,CCCC(=O)OC(C)(CC)C#C,3-methylpent-1-yn-3-yl butanoate,C10H16O2,168.23,cid_from_step2,manual_map,high,Kathon CG variant
COCAMIDOPROPYL BETAINE,61789-40-0,24769760,C1=C(C(C(C1O)O)N2C=NC3=C(N=CN=C32)N)CO,"(1S,2R,5R)-5-(6-aminopurin-9-yl)-4-(hydroxymethyl)cyclopent-3-ene-1,2-diol",C11H13N5O3,263.25,cid_from_step2,manual_map,high,
PANTHENOL,81-13-0,131204,CC(C)(CO)C(C(=O)NCCCO)O,"(2R)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide",C9H19NO4,205.25,cid_from_step2,manual_map,high,
OPACIFIER (UNSPECIFIED),,,,,,,not_applicable,manual_map,high,OCR typo of opacifiant
PARFUM,,,,,,,not_applicable,manual_map,high,
TRIETHANOLAMINE,102-71-6,7618,C(CO)N(CCO)CCO,2-[bis(2-hydroxyethyl)amino]ethanol,C6H15NO3,149.19,cid_from_step2,manual_map,high,TEA 85%
LANOLIN,8006-54-0,11970101,CC1(CN(C2N1C(=O)C2(C)OCCCOC3(C4N(CC(N4C3=O)(C)C)C(=O)OCC5=CC=CC=C5)C)C(=O)OCC6=CC=CC=C6)C,"benzyl (5S,6S)-2,2,6-trimethyl-7-oxo-6-[3-[[(5S,6S)-2,2,6-trimethyl-7-oxo-4-phenylmethoxycarbonyl-1,4-diazabicyclo[3.2.0]heptan-6-yl]oxy]propoxy]-1,4-diazabicyclo[3.2.0]heptane-4-carboxylate",C35H44N4O8,648.7,cid_from_step2,manual_map,high,
CETYL ALCOHOL,36653-82-4,2682496,C1CC(C(=O)C1)OC(=O)C2=NNC3=CC=CC=C32,[(1S)-2-oxocyclopentyl] 1H-indazole-3-carboxylate,C13H12N2O3,244.25,cid_from_step2,manual_map,high,Lorol C16 = cetyl alcohol
SODIUM METHYLPARABEN,5026-62-0,12270,C1=CC(=CC(=C1)I)I,"1,3-diiodobenzene",C6H4I2,329.90,cid_from_step2,manual_map,high,POB = p-hydroxybenzoate
PARFUM,,,,,,,not_applicable,manual_map,high,
PANTHENOL,81-13-0,131204,CC(C)(CO)C(C(=O)NCCCO)O,"(2R)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide",C9H19NO4,205.25,cid_from_step2,manual_map,high,D-Panthenol = Provitamin B5
PARFUM,,,,,,,not_applicable,manual_map,high,
ALCOHOL DENAT.,64-17-5,702,CCO,ethanol,C2H6O,46.07,cid_from_step2,manual_map,high,
PARFUM,,,,,,,not_applicable,manual_map,high,
ALCOHOL DENAT.,64-17-5,702,CCO,ethanol,C2H6O,46.07,cid_from_step2,manual_map,high,
PARFUM,,,,,,,not_applicable,manual_map,high,Lavender fragrance note
PARFUM,,,,,,,not_applicable,manual_map,high,Fougère fragrance note
PARFUM,,,,,,,not_applicable,manual_map,high,Fresh fragrance note
PARFUM,,,,,,,not_applicable,manual_map,high,
PARFUM,,,,,,,not_applicable,manual_map,high,Lemon fragrance note
PARFUM,,,,,,,not_applicable,manual_map,high,Navy fragrance note
PARFUM,,,,,,,not_applicable,manual_map,high,
PARFUM,,,,,,,not_applicable,manual_map,high,
CELLULOSE GUM,9000-11-7,6420601,C1=CC(=CC=C1N2C(=O)C3=C(NC2=O)N=CN3)Br,"1-(4-bromophenyl)-3,7-dihydropurine-2,6-dione",C11H7BrN4O2,307.10,cid_from_step2,manual_map,high,CMC
SODIUM SACCHARIN,128-44-9 / 6155-57-3,656582,C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+],"sodium 1,1-dioxo-1,2-benzothiazol-2-id-3-one",C7H4NNaO3S,205.17,cas_lookup,fuzzy_cosing,medium,fuzzy matched 'saccharimante de sodium' -> 'SODIUM SACCHARIN'
HYDRATED SILICA,7699-41-4,6124190,CC1=CC(=C(C=C1)C)C(=C2C(N(C(=O)C2=O)C3=NC4=C(S3)C=C(C=C4)F)C5=CC(=CC=C5)OC6=CC=CC=C6)O,"(4E)-4-[(2,5-dimethylphenyl)-hydroxymethylidene]-1-(6-fluoro-1,3-benzothiazol-2-yl)-5-(3-phenoxyphenyl)pyrrolidine-2,3-dione",C32H23FN2O4S,550.6,cid_from_step2,manual_map,high,Sident 22S abrasive silica
SODIUM MONOFLUOROPHOSPHATE,10163-15-2,24948,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ce+3],cerium(3+) trinitrate,CeN3O9,326.13,cid_from_step2,manual_map,high,
HYDRATED SILICA,7699-41-4,6124190,CC1=CC(=C(C=C1)C)C(=C2C(N(C(=O)C2=O)C3=NC4=C(S3)C=C(C=C4)F)C5=CC(=CC=C5)OC6=CC=CC=C6)O,"(4E)-4-[(2,5-dimethylphenyl)-hydroxymethylidene]-1-(6-fluoro-1,3-benzothiazol-2-yl)-5-(3-phenoxyphenyl)pyrrolidine-2,3-dione",C32H23FN2O4S,550.6,cid_from_step2,manual_map,high,Sident 9 thickening silica
CI 42051,3536-49-0,77073,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC(=C(C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])O.CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC(=C(C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Ca+2],"calcium bis(4-[[4-(diethylamino)phenyl]-(4-diethylazaniumylidenecyclohexa-2,5-dien-1-ylidene)methyl]-6-hydroxybenzene-1,3-disulfonate)",C54H62CaN4O14S4,1159.4,cid_from_step2,manual_map,high,Patent Blue V
CELLULOSE GUM,9000-11-7,6420601,C1=CC(=CC=C1N2C(=O)C3=C(NC2=O)N=CN3)Br,"1-(4-bromophenyl)-3,7-dihydropurine-2,6-dione",C11H7BrN4O2,307.10,cid_from_step2,manual_map,high,CMC
ALLANTOIN,97-59-6,204,C1(C(=O)NC(=O)N1)NC(=O)N,"(2,5-dioxoimidazolidin-4-yl)urea",C4H6N4O3,158.12,cid_from_step2,manual_map,high,
SODIUM FLUORIDE,7681-49-4,5284567,CC(=O)NCCOC(=O)C(C1=CC=C(C=C1)Cl)OC2=CC=C(C=C2)C(F)(F)F,2-acetamidoethyl 2-(4-chlorophenyl)-2-[4-(trifluoromethyl)phenoxy]acetate,C19H17ClF3NO4,415.8,cid_from_step2,manual_map,high,
TOOTHPASTE FLAVOR,,,,,,,not_applicable,manual_map,high,Proprietary dental flavor
TRIETHANOLAMINE,102-71-6,7618,C(CO)N(CCO)CCO,2-[bis(2-hydroxyethyl)amino]ethanol,C6H15NO3,149.19,cid_from_step2,manual_map,high,TEA 85%
OXYQUINOLINE SULFATE,134-31-6,517000,C1=CC2=C(C(=C1)O)N=CC=C2.C1=CC2=C(C(=C1)O)N=CC=C2.OS(=O)(=O)O,bis(quinolin-8-ol);sulfuric acid,C18H16N2O6S,388.4,cid_from_step2,manual_map,high,
COCAMIDE DEA,61791-31-9,9993,C1=CC(=CC=C1F)Br,1-bromo-4-fluorobenzene,C6H4BrF,175.00,cid_from_step2,manual_map,high,COD = Cocodiethanolamide / Cocamide DEA
GLYCOL DISTEARATE,627-83-8,12497,CCC(=O)OC1=CC=CC=C1,phenyl propanoate,C9H10O2,150.17,cid_from_step2,manual_map,high,Nacron = glycol distearate opacifier
SODIUM HYDROXIDE,1310-73-2,14798,[OH-].[Na+],sodium hydroxide,HNaO,39.997,cid_from_step2,manual_map,high,Caustic soda pure
BUTOXYETHANOL,111-76-2,8057,CCCCCBr,1-bromopentane,C5H11Br,151.04,cid_from_step2,manual_map,high,Butyl glycol = Butyl cellosolve
