french_name,inci_name,cas_number,pubchem_cid,notes
lorol c16,CETYL ALCOHOL,36653-82-4,2682496,Lorol C16 = cetyl alcohol
nigrosine s.,CI 50415,8005-03-6,3084073,Nigrosine dye
blanc de titane,TITANIUM DIOXIDE,13463-67-7,26042,
monofluorophosphate de sodium,SODIUM MONOFLUOROPHOSPHATE,10163-15-2,24948,
fluorure de sodium,SODIUM FLUORIDE,7681-49-4,5284567,
acide chlorhydrique concentré,HYDROCHLORIC ACID,7647-01-0,313,
acide chlorhydrique concentré à 30%,HYDROCHLORIC ACID,7647-01-0,313,30% solution
acide chlorhydrique centre,HYDROCHLORIC ACID,7647-01-0,313,OCR artifact of 'concentré'
hydroxyde de calcium,CALCIUM HYDROXIDE,1305-62-0,6093208,
carbonate de sodium,SODIUM CARBONATE,497-19-8,10340,
carbonate de calcium,CALCIUM CARBONATE,471-34-1,10112,
phosphate trisodique,TRISODIUM PHOSPHATE,7601-54-9,24455,
meta silicate de sodium,SODIUM METASILICATE,6834-92-0,23792,
meta silicatéde sodium,SODIUM METASILICATE,6834-92-0,23792,OCR typo
métasilicate de sodium,SODIUM METASILICATE,6834-92-0,23792,
silicate de soude,SODIUM SILICATE,1344-09-8,3423151,
myristate d'isopropyle,ISOPROPYL MYRISTATE,110-27-0,8042,
beurre de karité,BUTYROSPERMUM PARKII BUTTER,91080-23-8,5366085,Shea butter
alcool éthylique à 96°,ALCOHOL DENAT.,64-17-5,702,96% ethanol
alcool éthylique pharma,ALCOHOL,64-17-5,702,Pharmaceutical ethanol
alcool éthylique dénaturé,ALCOHOL DENAT.,64-17-5,702,
alcool à 96°,ALCOHOL DENAT.,64-17-5,702,
propylène glycol,PROPYLENE GLYCOL,57-55-6,1030,
mono éthylène glycol inhibé,ETYLENE GLYCOL,107-21-1,174,Inhibited monoethylene glycol (antifreeze)
d-panthéanol,PANTHENOL,81-13-0,131204,D-Panthenol = Provitamin B5
d. panthenol,PANTHENOL,81-13-0,131204,
triéthanolamine à 85 %,TRIETHANOLAMINE,102-71-6,7618,TEA 85%
tea 85,TRIETHANOLAMINE,102-71-6,7618,TEA 85%
carboxymethylcellulose,CELLULOSE GUM,9000-11-7,6420601,CMC
carboxyméthylcellulose,CELLULOSE GUM,9000-11-7,6420601,CMC
white spirit,"HYDROCARBONS, C9-C12, N-ALKANES, ISOALKANES, CYCLICS",64742-47-8,516308,White spirit solvent
potasse caustique,POTASSIUM HYDROXIDE,1310-58-3,14797,KOH
soude caustique,SODIUM HYDROXIDE,1310-73-2,14798,NaOH
soude caustique naoh,SODIUM HYDROXIDE,1310-73-2,14798,NaOH
acide stéarique d.p,STEARIC ACID,57-11-4,5281,Double Pression grade
acide stéarique dp,STEARIC ACID,57-11-4,5281,Double Pression grade
acide stéarique lp,STEARIC ACID,57-11-4,5281,
acide gras de coco,COCONUT ACID,67701-05-7,5365679,Mixed coconut fatty acids
chlorure de potassium,POTASSIUM CHLORIDE,7447-40-7,4873,
anti mousse,DIMETHICONE,9006-65-9,24765,Antifoam = silicone dimethicone assumed
alcool éthylique,ALCOHOL DENAT.,64-17-5,702,
alcool ethylique,ALCOHOL DENAT.,64-17-5,702,
alcool isopropylique,ISOPROPYL ALCOHOL,67-63-0,3776,IPA
alcool iso propylique,ISOPROPYL ALCOHOL,67-63-0,3776,IPA
mono ethylene glycol inhibé,ETHYLENE GLYCOL,107-21-1,174,Inhibited MEG antifreeze
mono ethylene glycol meg inhibé,ETHYLENE GLYCOL,107-21-1,174,Inhibited MEG
mono ethylene glycol inhibé oat (additif 100% organique g12),ETHYLENE GLYCOL,107-21-1,174,OAT inhibited MEG G12
mono ethylene glycol inhibé oat (additif 100% organique g13),ETHYLENE GLYCOL,107-21-1,174,OAT inhibited MEG G13
ethylène glycol inhibé minéral eau déminéralisée,ETHYLENE GLYCOL,107-21-1,174,Mineral inhibited glycol blend
kathon cg,METHYLCHLOROISOTHIAZOLINONE (AND) METHYLISOTHIAZOLINONE,26172-55-4,57482,Kathon CG
kathan cg,METHYLCHLOROISOTHIAZOLINONE (AND) METHYLISOTHIAZOLINONE,26172-55-4,57482,Kathon CG variant
igrasan dp 300,TRICLOSAN,3380-34-5,5564,Irgasan DP300
igrasan dp300,TRICLOSAN,3380-34-5,5564,
parahydroxybenzoate de méthyle,METHYLPARABEN,99-76-3,7456,
parahydroxybenzoate de methyle,METHYLPARABEN,99-76-3,7456,
parahydroxybenzoate de propyle,PROPYLPARABEN,94-13-3,7175,
texapon n70,SODIUM LAURETH SULFATE,9004-82-4,23665763,Texapon N70 = SLES 70%
texapon n 70,SODIUM LAURETH SULFATE,9004-82-4,23665763,
empicol lx 95,SODIUM LAURYL SULFATE,151-21-3,3423265,Empicol LX 95 = SLS 95%
lauryl ether sulfate de sodium (texapon n70),SODIUM LAURETH SULFATE,9004-82-4,23665763,
lauryl ether sulfate of sodium (texapon n70),SODIUM LAURETH SULFATE,9004-82-4,23665763,
laryyl éther sulfate de sodium,SODIUM LAURETH SULFATE,9004-82-4,23665763,OCR typo of lauryl
comperlan cod,COCAMIDE DEA,61791-31-9,8053426,Comperlan COD = Cocamide DEA
comperlan,COCAMIDE DEA,61791-31-9,8053426,Assumed Comperlan COD
comperian,COCAMIDE DEA,61791-31-9,8053426,OCR typo of Comperlan
cocamide dea (comperlan cod),COCAMIDE DEA,61791-31-9,8053426,
coco betaine,COCAMIDOPROPYL BETAINE,61789-40-0,24769760,
coco-betaine,COCAMIDOPROPYL BETAINE,61789-40-0,24769760,
coco-bétaïne,COCAMIDOPROPYL BETAINE,61789-40-0,24769760,
coco-betaine (dehyton ab 30),COCAMIDOPROPYL BETAINE,61789-40-0,24769760,
coco-bétaïne (dehyton ab 30),COCAMIDOPROPYL BETAINE,61789-40-0,24769760,
cocoamidopropyl betaine /coco-betaine (dehyton ab 30),COCAMIDOPROPYL BETAINE,61789-40-0,24769760,
dehyton ab30,COCAMIDOPROPYL BETAINE,61789-40-0,24769760,Dehyton AB30 = CAPB 30%
dehyton ab 30,COCAMIDOPROPYL BETAINE,61789-40-0,24769760,
plantacare 818,COCO-GLUCOSIDE,141464-42-8,16136216,Plantacare 818 = Coco-glucoside
coco glucoside et oléate de glycérile (lamesoft po 65),COCO-GLUCOSIDE (AND) GLYCERYL OLEATE,141464-42-8,16136216,Lamesoft PO 65
coco glucoside et oléate de glycérile,COCO-GLUCOSIDE (AND) GLYCERYL OLEATE,141464-42-8,16136216,
coco glucoside et oléate de glycéryle,COCO-GLUCOSIDE (AND) GLYCERYL OLEATE,141464-42-8,16136216,
lamesoft po 65,COCO-GLUCOSIDE (AND) GLYCERYL OLEATE,141464-42-8,16136216,
lamesoft p065,COCO-GLUCOSIDE (AND) GLYCERYL OLEATE,141464-42-8,16136216,
lamesoft po65,COCO-GLUCOSIDE (AND) GLYCERYL OLEATE,141464-42-8,16136216,
dehyquart a,QUATERNIUM-18,61789-80-8,9570420,Dehyquart A = quaternary ammonium surfactant
dehyquat a,QUATERNIUM-18,61789-80-8,9570420,OCR typo of Dehyquart A
merquat 550,POLYQUATERNIUM-7,26590-05-6,16219946,Merquat 550
merquat 550 cc7,POLYQUATERNIUM-7,26590-05-6,16219946,
polymer pq 10,POLYQUATERNIUM-10,68610-92-4,16217556,PQ-10 = hydroxyethyl cellulose quat
polymer pq10,POLYQUATERNIUM-10,68610-92-4,16217556,
luvimer 100p,ACRYLATES COPOLYMER,25133-97-5,15939647,Luvimer 100P = acrylates copolymer
lanette o,CETEARYL ALCOHOL,67762-27-0,8936,Lanette O = cetearyl alcohol
laneette o,CETEARYL ALCOHOL,67762-27-0,8936,OCR typo Lanette O
lanoxal 75,CETEARETH-25,68439-49-6,23674612,Lanoxal 75 = ceteareth emulsifier
emulgin b1,CETEARETH-12,68439-49-6,24765,Emulgin B1 = ceteareth-12
emulgine b1,CETEARETH-12,68439-49-6,24765,Emulgin B1 variant
cutina ags,GLYCERYL STEARATE (AND) PEG-100 STEARATE,31566-31-1,5283468,Cutina AGS self-emulsifying base
emulsion de silicone bc 2268,DIMETHICONE,9006-65-9,24765,Silicone emulsion (trade name redacted)
emulsion silicone bc 2268,DIMETHICONE,9006-65-9,24765,Silicone emulsion (trade name redacted)
emulsion de silicone bc 91/023,DIMETHICONE,9006-65-9,24765,Silicone emulsion 60% (trade name redacted)
emulsion silicone bc 91/023,DIMETHICONE,9006-65-9,24765,Silicone emulsion (trade name redacted)
bc 91/023 (émulsion siliconnée 60%),DIMETHICONE,9006-65-9,24765,Silicone emulsion 60% (trade name redacted)
d-panthénol,PANTHENOL,81-13-0,131204,D-Panthenol
d-panténol,PANTHENOL,81-13-0,131204,OCR variant
colorant jaune tartrazine,CI 19140,1934-21-0,164825,Tartrazine / FD&C Yellow 5
colorant jaune tartazine,CI 19140,1934-21-0,164825,OCR typo
dioxyde de titane,TITANIUM DIOXIDE,13463-67-7,26042,
noir de carbone,CI 77266,1333-86-4,5462329,Carbon black
azurant optique,DISODIUM DISTYRYLBIPHENYL DISULFONATE,27344-41-8,25151880,Optical brightener
azurant optique liquide,DISODIUM DISTYRYLBIPHENYL DISULFONATE,27344-41-8,25151880,
azurant optique o.b en poudre,DISTYRYLBIPHENYL DISULFONATE,27344-41-8,25151880,OB optical brightener powder
sident 22s,HYDRATED SILICA,7699-41-4,6124190,Sident 22S abrasive silica
sident 9,HYDRATED SILICA,7699-41-4,6124190,Sident 9 thickening silica
silice abrasif,HYDRATED SILICA,7699-41-4,6124190,
alumine hydratée,ALUMINA,1344-28-1,9989226,Al2O3·3H2O abrasive
mono fluoro phosphate de sodium,SODIUM MONOFLUOROPHOSPHATE,10163-15-2,24948,
arôme menthe poivrée,PEPPERMINT FLAVOR,,,Flavor ingredient — no single CAS
arome menthe poivree,PEPPERMINT FLAVOR,,,
arôme bi fluor,TOOTHPASTE FLAVOR,,,Proprietary dental flavor
arome pour dentifrice bi-fluor,TOOTHPASTE FLAVOR,,,
beurre de karite,BUTYROSPERMUM PARKII BUTTER,91080-23-8,5366085,Shea butter
formaldéhyde,FORMALDEHYDE,50-00-0,712,
peroxyde d'hydrogène,HYDROGEN PEROXIDE,7722-84-1,763,
acide sulfurique,SULFURIC ACID,7664-93-9,1118,
phosphonates,PHOSPHONATE COMPOUND,,,Generic phosphonate class — CAS depends on specific compound
borax,SODIUM TETRABORATE,1303-96-4,10219853,
acide citrique,CITRIC ACID,77-92-9,311,
acide citrique.,CITRIC ACID,77-92-9,311,
butyl hydroxy anisol,BHA,25013-16-5,8456,Butylhydroxyanisole antioxidant
carboxy méthyl cellulose,CELLULOSE GUM,9000-11-7,6420601,CMC
carboxy méthylcellulose,CELLULOSE GUM,9000-11-7,6420601,CMC
carboxymethyle cellulose de sodium,CELLULOSE GUM,9000-11-7,6420601,CMC
butyl-glycol,BUTOXYETHANOL,111-76-2,8057,Butyl glycol
amp 95,AMP (AMINOMETHYL PROPANOL),124-68-5,8572,AMP-95 = 2-amino-2-methyl-1-propanol 95%
soudé caustique,SODIUM HYDROXIDE,1310-73-2,14798,OCR typo of soude caustique
hypochlorite concentré,SODIUM HYPOCHLORITE,7681-52-9,23665763,Concentrated NaOCl
emulcool 64% (v/v),ALCOHOL DENAT.,64-17-5,702,Emulcool 64% = denatured alcohol base
emulcool 64.5%,ALCOHOL DENAT.,64-17-5,702,
cetiol he,PEG-7 GLYCERYL COCOATE,68201-46-7,25152395,Cetiol HE = PEG-7 glyceryl cocoate
tenzaryl,BENZALKONIUM CHLORIDE,8001-54-5,5974536,Tenzaryl = benzalkonium chloride
silicate de magnesium hydrate,MAGNESIUM SILICATE,1343-88-0,23924789,
silice epaississante,SILICA,7631-86-9,24281,Thickening silica
nacre hydro,MICA (AND) TITANIUM DIOXIDE,,,Nacreous pearlescent pigment
agent nacrant,GLYCOL DISTEARATE,627-83-8,69988,Pearlizing agent
agent opacifiant,GLYCOL DISTEARATE,627-83-8,69988,Opacifying agent; may vary by product
cire m12,MICROCRYSTALLINE WAX,63231-60-7,24765,M12 microcrystalline wax
cire microcristalline md,MICROCRYSTALLINE WAX,63231-60-7,24765,
ap 7,NONOXYNOL-7,9016-45-9,24756940,
non ionique ap9,NONOXYNOL-9,9016-45-9,24756940,
non ionique rh40,PEG-40 HYDROGENATED CASTOR OIL,61788-85-0,24765,Cremophor RH40
base neutralisante (tea),TRIETHANOLAMINE,102-71-6,7618,Base neutralisante = TEA
base neutralisante,TRIETHANOLAMINE,102-71-6,7618,Neutralizing base — assumed TEA
base neutraisante,TRIETHANOLAMINE,102-71-6,7618,OCR typo
base détetrante,SURFACTANT BLEND,,,Detergent base blend
silicate de sode,SODIUM SILICATE,1344-09-8,3423151,OCR typo of silicate de soude
nonyl-phémol ethoxylé ap 9 m.o.e,NONOXYNOL-9,9016-45-9,24756940,OCR variant of Nonyl-Phenol Ethoxylé
nonyl-phéno ethoxylé ap 9 m.o.e,NONOXYNOL-9,9016-45-9,24756940,OCR variant
nonyl-phénoi ethoxylé ap 9 m.o.e,NONOXYNOL-9,9016-45-9,24756940,OCR variant
nonyl-phénoil ethoxylé ap 9 m.o.e,NONOXYNOL-9,9016-45-9,24756940,OCR variant
tensio-actif non ionique (ap9),NONOXYNOL-9,9016-45-9,24756940,AP9 nonionic surfactant
tensioactif cationique (stepantex),DISTEARYLDIMETHYLAMMONIUM CHLORIDE,107-64-2,9901,Stepantex = fabric softener quat
colorant bleu ci 42051,CI 42051,3536-49-0,77073,Patent Blue V
colorant bleu patent,CI 42051,3536-49-0,77073,Patent Blue V
colorant bleu patente,CI 42051,3536-49-0,77073,
colorant rose (pink),CI 14700,4548-53-2,5360,Food Red 1 / Ponceau
colorant orange red 16129,CI 16129,3257-28-1,25151780,
colorant mauve,CI 42650,1694-09-3,15558614,Violet 23
colorant brun foncé à la graisse b,CI 26105,6226-78-4,24857040,Sudan Brown
colorant vert,CI 42000,569-64-2,11038,Malachite green assumed
lavande : violet : (ci42051- ci42650-ci42090),CI 42051 / CI 42650 / CI 42090,,,Lavender shade — color blend
marine : bleu patenté (ci42051) (e131),CI 42051,3536-49-0,77073,Patent Blue V E131
pin-menthe : colorant vert 555d,CI 42053,4180-46-5,6379,Vert fixe 6B
orange ceres s,CI 12140,1229-55-6,15552,Orange II dye
base parfum,PARFUM,,,Fragrance base — proprietary blend
base parfum (anti nos),PARFUM,,,
base parfum selon la note,PARFUM,,,
"base parfum fougère, fraîche, sport",PARFUM,,,
"base parfum lavande, fougere, fraiche",PARFUM,,,
"base parfum lemon, navy",PARFUM,,,
base parfum floral/noix de coco/fruit rouge,PARFUM,,,
base parfum fruit exotique,PARFUM,,,
**base parfum fruit exotique**,PARFUM,,,
base parfum draky,PARFUM,,,
base parfum elan,PARFUM,,,
base parfum air marin,PARFUM,,,
base parfum belissima,PARFUM,,,
base parfum creme depilatoire,PARFUM,,,
base parfum creme à raser,PARFUM,,,
base parfum crème à raser,PARFUM,,,
base parfum deodorant tche-hi,PARFUM,,,
base parfum fougere,PARFUM,,,
base parfum fougère,PARFUM,,,
base parfum fraîche,PARFUM,,,
base parfum lemon,PARFUM,,,
base parfum navy,PARFUM,,,
base parfum pin,PARFUM,,,
base parfum pour after shave et deodorant leader,PARFUM,,,
base parfum pour eau de cologne lavande,PARFUM,,,
parfum (rose ; lavande ; jasmin et violette),PARFUM,,,
parfum hdp citron,PARFUM,,,
parfum jasmin f005,PARFUM,,,
parfum citron,PARFUM,,,
parfum jasmin,PARFUM,,,
parfum laque,PARFUM,,,
parfum pin,PARFUM,,,
parfum pour polish tableau de bord,PARFUM,,,
parfum pour détergents,PARFUM,,,
parfum savon marseille,PARFUM,,,
huile aromatique,PARFUM,,,Aromatic oil — fragrance ingredient
lavande,PARFUM,,,Lavender fragrance note
lemon,PARFUM,,,Lemon fragrance note
navy,PARFUM,,,Navy fragrance note
fougere,PARFUM,,,Fougère fragrance note
fraiche,PARFUM,,,Fresh fragrance note
agent de conservation,PRESERVATIVE (UNSPECIFIED),,,Generic preservative — type not specified
conservateur,PRESERVATIVE (UNSPECIFIED),,,
conservateurs,PRESERVATIVE (UNSPECIFIED),,,
agent antibactérien,ANTIMICROBIAL AGENT (UNSPECIFIED),,,
agent anti corrosif,CORROSION INHIBITOR (UNSPECIFIED),,,
agent anti corrosif organique,CORROSION INHIBITOR (UNSPECIFIED),,,
agent anti gel,ANTIFREEZE (UNSPECIFIED),,,
solubilisant,SOLUBILIZER (UNSPECIFIED),,,
stabilisant,STABILIZER (UNSPECIFIED),,,
séquestrant,SEQUESTERING AGENT (UNSPECIFIED),,,
opacifiant,OPACIFIER (UNSPECIFIED),,,
agent apocifiant,OPACIFIER (UNSPECIFIED),,,OCR typo of opacifiant
colorant,COLORANT (UNSPECIFIED),,,
colorants,COLORANT (UNSPECIFIED),,,
gaz,PROPELLANT (UNSPECIFIED),,,
gaz propulseur.,PROPELLANT (UNSPECIFIED),,,
propulseur.,PROPELLANT (UNSPECIFIED),,,
base détégrante,DETERGENT BASE (UNSPECIFIED),,,Blend — composition unknown
cemulsol,NONIONIC SURFACTANT (UNSPECIFIED),,,Cemulsol = generic nonionic surfactant trade name
pob méthyle sel sodique,SODIUM METHYLPARABEN,5026-62-0,12270,POB = p-hydroxybenzoate
acide sulfurique eau déminéralisée,SULFURIC ACID,7664-93-9,1118,Sulfuric acid + water solution
cire « e »,MICROCRYSTALLINE WAX,63231-60-7,24765,Cire E — shoe wax grade
cire « kle »,MICROCRYSTALLINE WAX,63231-60-7,24765,Cire KLE — shoe wax grade
cire « s »,MICROCRYSTALLINE WAX,63231-60-7,24765,Cire S — shoe wax grade
naoh pure,SODIUM HYDROXIDE,1310-73-2,14798,NaOH pure
naoh à 100%,SODIUM HYDROXIDE,1310-73-2,14798,NaOH 100%
naoh a 100%,SODIUM HYDROXIDE,1310-73-2,14798,NaOH 100%
soude caustique pure,SODIUM HYDROXIDE,1310-73-2,14798,Caustic soda pure
soude caustique granulée,SODIUM HYDROXIDE,1310-73-2,14798,Caustic soda granules
soude caustique granule,SODIUM HYDROXIDE,1310-73-2,14798,Caustic soda granules
soude caustique naoh à 100 %,SODIUM HYDROXIDE,1310-73-2,14798,NaOH 100%
soude caustique naoh a 100 %,SODIUM HYDROXIDE,1310-73-2,14798,NaOH 100%
butyl glycol,BUTOXYETHANOL,111-76-2,8057,Butyl glycol = Butyl cellosolve
hypochlorite de sodium,SODIUM HYPOCHLORITE,7681-52-9,23665746,Bleach
hypochlorite de sodium à 48°cli,SODIUM HYPOCHLORITE,7681-52-9,23665746,48° chlorimetric
hypochlorite de sodium à 48°chl,SODIUM HYPOCHLORITE,7681-52-9,23665746,48° chlorimetric
hypochlorite de sodium 48°cli,SODIUM HYPOCHLORITE,7681-52-9,23665746,
hypochlorite de sodium 48°chl,SODIUM HYPOCHLORITE,7681-52-9,23665746,
hypochlorite de sodium « 48°cli »,SODIUM HYPOCHLORITE,7681-52-9,23665746,guillemet delimiters
hypochlorite de sodium « 48°chl »,SODIUM HYPOCHLORITE,7681-52-9,23665746,guillemet delimiters
tensio actif amphotaire (ninox),COCAMIDOPROPYL BETAINE,61789-40-0,3080820,Ninox = CAPB amphoteric
ninox,COCAMIDOPROPYL BETAINE,61789-40-0,3080820,Ninox trade name
tensio actif anionique (sécosyl),SODIUM DODECYLBENZENESULFONATE,25155-30-0,23665752,Sécosyl = LAS
sécosyl,SODIUM DODECYLBENZENESULFONATE,25155-30-0,23665752,Sécosyl
secosyl,SODIUM DODECYLBENZENESULFONATE,25155-30-0,23665752,
cod,COCAMIDE DEA,61791-31-9,9993,COD = Cocodiethanolamide / Cocamide DEA
base parfum tche-hi,PARFUM,,,Fragrance base (trade name redacted)
base parfum nessma,PARFUM,,,Fragrance base (trade name redacted)
base parfum darky,PARFUM,,,Fragrance base (trade name redacted)
"parfum lavande, rose ou autres",PARFUM,,,Fragrance blend
"parfum lavande, marine, rose",PARFUM,,,Fragrance blend
"parfum citron vert, lavande, rose",PARFUM,,,Fragrance blend
agent nacron (opacifiant),GLYCOL DISTEARATE,627-83-8,12497,Nacron = glycol distearate opacifier
colorant violet 1105,CI 60725,81-48-1,6680,Disperse Violet 1
colorant violet 11105 : parfum lavande,CI 60725,81-48-1,6680,CI 60725 with fragrance label
colorant bleu patent : parfum marine,CI 42051,3536-49-0,77073,Patent Blue V
colorant rose pink : parfum rose,CI 45410,632-69-9,32343,Rose bengal / Acid Red 94
colorant jaune tartrazine : parfum citron vert,CI 19140,1934-21-0,164825,Tartrazine
colorant rouge ponceau,CI 16255,2611-82-7,17466,Ponceau 4R
colorant rosole 54112 (rose fluo),CI 45410,632-69-9,32343,Fluorescent rose colorant
phosphonate de sodium,TETRASODIUM ETIDRONATE,3794-83-0,20452,Sodium phosphonate corrosion inhibitor
cires,WAX (UNSPECIFIED),,,Generic wax class from composition list
solvant,SOLVENT (UNSPECIFIED),,,Generic solvent
emulsifiant,EMULSIFYING AGENT (UNSPECIFIED),,,Generic emulsifier
cocamido propyl betaine,COCAMIDOPROPYL BETAINE,61789-40-0,24769760,Fuzzy match — explicit CID added
cocamide dea,COCAMIDE DEA,61791-31-9,8053426,Exact CosIng match — explicit CID added
allantoine,ALLANTOIN,97-59-6,204,
allantoin,ALLANTOIN,97-59-6,204,
glycine,GLYCINE,56-40-6,750,Amino acid humectant
saccharine sodique,SODIUM SACCHARIN,81-07-2,5143,Sodium saccharin sweetener
saccharine de sodium,SODIUM SACCHARIN,81-07-2,5143,
trichlorocarbanilide,TRICLOCARBAN,101-20-2,7547,
triclocarban,TRICLOCARBAN,101-20-2,7547,
oxyquinoléine sulfate,OXYQUINOLINE SULFATE,134-31-6,517000,Antiseptic/preservative
oxyquinoléine de sulfate,OXYQUINOLINE SULFATE,134-31-6,517000,
thioglycolate de calcium,CALCIUM THIOGLYCOLATE,814-71-1,13141,Depilatory active
